text,true_label,predicted_label,prediction_confidence,match_count,total_score,pos_votes,neg_votes,neu_votes,invalid_votes,matched_terms
"感覺錢花得不值得,沒有特色的食物、空氣差、景觀差、挺不下去啊~",negative,negative,0.6,5,-0.193688,3,2,0,0,感覺 | 不值得 | 沒有 | 特色 | 不下
這種有鏡片的可以加裝偏光鏡 就能把反射的影像抹去 推薦的美食我都標記了 有機會去 一定要去吃吃看,neutral,positive,1.0,8,1.079293,11,1,6,0,鏡片 | 可以 | 加裝 | 就能 | 抹去 | 推薦 | 有機會 | 一定要
"销售七八成也不一定就是假的,就像海南的房子一样,买的很多都是大陆人,冬天过年人就多,平时人就少,俗称候鸟楼盘,你们台湾没有南北差异不明白这些也不奇怪",negative,negative,0.571429,7,-0.195489,3,4,0,0,也不 | 一定 | 很多 | 都是 | 不明白 | 也不 | 奇怪
他是我們國小六年級畢旅導遊欸,neutral,neutral,0.0,0,0.0,0,0,0,0,
謝謝您 活菩薩,positive,positive,1.0,1,0.297482,6,0,0,0,謝謝
米克斯Larry 在找家唷,neutral,neutral,0.0,0,0.0,0,0,0,0,
竟然分上下集,neutral,negative,1.0,1,-0.012537,0,1,0,0,竟然
吵這種白癡問題的人都假帳號吧? 你們真的會下地獄 閒閒沒事做喔?不會去捐錢做善事?,negative,negative,1.0,6,-1.204594,4,5,0,0,白癡 | 問題 | 下地獄 | 閒閒沒事做 | 不會 | 善事
讚!,neutral,neutral,0.0,0,0.0,0,0,0,0,
"J好可憐,上個班被老闆叫出來拍影片,還要被你們這些hater罵,薪水真難賺,網路社會變成這樣了嗎,看人不爽就網暴別人?",neutral,negative,0.428571,4,-0.205869,2,2,3,0,可憐 | 還要 | 變成 | 不爽
這集太好笑了啦!拜託多出一點~~,positive,positive,1.0,3,0.544295,3,0,0,0,太好 | 拜託 | 多出
兩個人 十分登對 恭喜,positive,positive,1.0,2,0.767959,2,0,0,0,十分 | 恭喜
@graceliu5955 沒有比較好....真的可以不用找J小姐!!!!!!!!!!!! 有點鳩佔鵲巢了~DO式圈其實也有J小姐了=..=!!!!!!!!!!!!!!!!!!!!,negative,positive,0.711937,8,0.711937,6,1,10,0,沒有 | 比較好 | 可以 | 不用 | 小姐 | 其實 | 也有 | 小姐
神奇的時間小偷,neutral,positive,0.666667,3,-0.014986,2,1,0,0,神奇 | 時間 | 小偷
真的完全不怕 超猛,positive,positive,1.0,3,1.375537,4,0,2,0,完全 | 不怕 | 超猛
那位Hanni好不討喜.....,negative,positive,0.833333,2,0.423871,5,1,0,0,好不 | 討喜
美華害媽媽被打,neutral,negative,1.0,1,-0.628521,0,1,0,0,被打
凡凡太美了,positive,neutral,0.0,0,0.0,0,0,0,0,
"連自己房間沒有先整理好,沒辦法處理世界經濟 這句話是從心去理解的一個道理,但並不太符合實際上會發生的事,只是拿來做為一個理解概念用的,也沒有說沒用 吸X區就跟風化區一樣,永遠不面對這個問題,讓世人持續用不正確與歧視的眼光看待,也會讓從事者沒有專業的想法和知識可以做好他們正在做的事 真正難容忍的到底是什麼? 根本沒管制到什麼然後放任地下世界雜草叢生,不如讓大家好好認識和避免,而不是避而遠之皆不談深 人類本能有這個需求,到底怎麼能做得到全面禁止? 你做得到,你的生活沒這些東西,你很了不起,但你從沒想過需要的人,永遠站在衛道的最高點講冠冕堂皇的話,對事情不但沒幫助,反而增長選站邊人們的對立而已。 感謝台客劇場持續關注",negative,positive,1.0,60,2.870597,51,20,37,1,自己 | 沒有 | 沒辦法 | 處理 | 理解 | 道理 | 並不 | 符合 | 實際上 | 發生 | 只是 | 理解 | 也沒有 | 沒用 | 風化 | 一樣 | 永遠 | 面對 | 問題 | 持續 | 不正確 | 歧視 | 也會 | 從事 | 沒有 | 專業 | 可以 | 做好 | 真正 | 容忍 | 根本 | 管制 | 放任 | 雜草 | 叢生 | 不如 | 好認 | 避免 | 而不是 | 不談 | 能有 | 需求 | 做得到 | 全面禁止 | 做得到 | 東西 | 了不起 | 沒想 | 永遠 | 站在 | 最高 | 冠冕堂皇 | 幫助 | 反而 | 增長 | 對立 | 而已 | 感謝 | 持續 | 關注
"要拍這系列就誠意點,3600美金直接花下去⋯你又不是沒錢⋯⋯沒人想看你開箱一些廢物吧⋯預算那麼低是在拍啥小",negative,negative,0.428571,8,-0.282058,6,4,4,0,誠意 | 直接 | 下去 | 又不是 | 沒錢 | 沒人 | 想看 | 廢物
"看了都感動的哭了!好為你們開心!看你們相處的樣子很自然、很舒服,讓人覺得好幸福啊!祝福你們牽手走一輩子的路!",positive,positive,1.0,8,2.096467,10,1,0,0,感動 | 哭了 | 開心 | 自然 | 舒服 | 覺得 | 幸福 | 祝福
"真的超沒水準,想拍片想到瘋了",negative,negative,1.0,2,-0.314591,0,2,0,0,沒水準 | 瘋了
"刚从邦劳潜水回来几天而以,你又让我十分的想念大海了",neutral,positive,1.0,1,0.117959,1,0,0,0,十分
魚罐頭可以帶回台灣嗎?,neutral,positive,0.6,2,0.35518,3,0,2,0,可以 | 帶回
好可愛的求婚~聽到男生一開口就好想哭(太感動了)謝謝可愛的小情侶讓我們見證美好的愛情,positive,positive,1.0,9,3.922074,16,0,4,0,可愛 | 好想 | 感動 | 謝謝 | 可愛 | 情侶 | 見證 | 美好 | 愛情
打死我都不會去這個舔共的國家,negative,negative,0.8,2,-0.278847,0,4,1,0,打死 | 不會
太感動 終於可以洗洗眼睛了,positive,positive,0.5,4,0.444419,7,0,6,1,感動 | 終於 | 可以 | 洗洗
"快篩有點誤導,不用那麼用力",negative,negative,0.715294,3,-0.715294,0,2,4,0,誤導 | 不用 | 用力
"台客可以是你用台灣人看待事物的方法,而不局限於台灣吧~不過我懂你說的頻道影片分類的想法,祝福你一切順利!",positive,positive,0.555556,5,0.09512,3,1,5,0,可以是 | 局限 | 不過 | 祝福 | 順利
"講到剪頭髮那部分,真的忍不住笑了",neutral,positive,1.0,1,0.415017,1,0,0,0,忍不住
謝謝鼻,positive,positive,1.0,1,0.297482,6,0,0,0,謝謝
"谢谢 Celine, 很棒的小旅行~期待第二集~",positive,positive,1.0,2,0.055061,2,0,0,0,很棒 | 期待
想請問Celine 種睫毛和作指甲的店在哪裏? 謝謝,neutral,positive,1.0,1,0.297482,6,0,0,0,謝謝
超讚,positive,neutral,0.0,0,0.0,0,0,0,0,
哇!謝謝你呀 btw我們現在也在清邁哈哈,positive,positive,1.0,2,0.369662,7,0,0,0,謝謝 | 哈哈
"為什麼要一直幫柯拉票,他明明台北市做得不怎麼樣,立場變來變去,處處雙標,到處亂說話...煩死了,退訂",negative,negative,0.625,4,-0.421671,1,2,5,0,一直 | 處處 | 亂說話 | 煩死了
"12:25 一定是帽子太小的問題,不是Eric臉圓的問題",neutral,negative,0.973057,4,-0.973057,1,3,0,0,一定是 | 問題 | 不是 | 問題
禮拜一沒班終於可以早早看ㄌ 感覺廚具有升級欸,positive,positive,1.0,6,1.189479,9,0,6,0,禮拜 | 終於 | 可以 | 感覺 | 具有 | 升級
退訂+1,negative,neutral,0.0,0,0.0,0,0,0,0,
14:02 糖果店店員長得有像Eva Elfie 美美的北歐精靈~,positive,neutral,0.875,2,0.0,1,0,7,0,糖果 | 精靈
風景真美,positive,neutral,0.0,0,0.0,0,0,0,0,
可以不要再用這麼無聊的梗嗎?,negative,negative,0.381487,3,-0.381487,2,2,2,0,可以 | 不要 | 無聊
"衛生棉比吸管垃圾量還多,還不環保你知道嗎。",negative,positive,0.7,4,0.579697,2,1,7,0,衛生 | 吸管 | 垃圾 | 知道
"老實說,一直覺得台客的調性適合走社會公益關懷路線或是追蹤發現社會角落問題之類的影片。畢竟拍美食拍旅遊拍異國差異這些主題的YTers實在太多了。就像這部影片,雖然承襲一貫明快的節奏(為了濃縮介紹30站節奏及畫面的轉場切換好像又更快),但每個站點蜻蜓點水的介紹實在看不出有什麼意義,感覺只是為了接業配和推廣新頻道為拍而拍的企劃。同樣的調調我還覺得”C.I.Angle直男視角”節奏更優秀而且主題內容及口條更有創意也有趣。身為內容創作者的前輩,面對多如洪流的後起之秀,如果還在搞些沒有差異化的內容企劃,似乎會愈來愈沒有動力收看",negative,positive,1.0,45,6.522852,46,5,27,0,老實 | 一直 | 覺得 | 適合 | 關懷 | 追蹤 | 發現 | 問題 | 畢竟 | 差異 | 實在 | 承襲 | 一貫 | 節奏 | 為了 | 介紹 | 節奏 | 切換 | 好像 | 更快 | 介紹 | 實在 | 看不出 | 意義 | 感覺 | 只是 | 為了 | 推廣 | 同樣 | 覺得 | 節奏 | 優秀 | 更有 | 創意 | 也有 | 身為 | 創作 | 面對 | 洪流 | 後起 | 沒有 | 差異化 | 似乎 | 沒有 | 動力
"想去苗栗微型屋 , 就跟老公獨處",positive,neutral,0.0,0,0.0,0,0,0,0,
看完 覺得很感動 滿滿的遺憾跟不捨 但我想這就是人生吧 珍惜一路上的風景 珍惜你所擁有的 才是活著的價值 加油導演 永支!,positive,positive,1.0,12,1.785789,15,2,4,0,覺得 | 感動 | 滿滿 | 遺憾 | 不捨 | 珍惜 | 珍惜 | 擁有 | 才是 | 活著 | 價值 | 加油
